CountyName,RecType,"Region-2
County-3
District-4",Type,School,FacilityName,Administrator,Mailing Address,Delivery Address,City,Zip,Telephone,GradeServed,State House District,StSen,FedCong,Cat,NCES ID
Brown,Sch,010050010,26,2002,Brown County Elementary School,Ms. Shelly Sheffler,501 NW Cross St,,Mount Sterling,62353 1149,217773-7500,P-4,093,47,18,4,172730002894
Cass,Dist,010090150,26,0000,Beardstown CUSD 15,Mr. Ron Gilbert,500 E 15th St,,Beardstown,62618 2052,217323-3099,P-12,093,47,18,2,1705310
Cass,Sch,010090150,26,0007,Beardstown Jr/Sr High School,Mr. William Myers,500 E 15th St,,Beardstown,62618 2052,217323-3665,5-12,093,47,18,4,170531000216
Cass,Sch,010090150,26,2003,Gard Elementary School,Mrs. Lori Young,400 E 15th St,,Beardstown,62618 2054,217323-1364,K-4,093,47,18,4,170531000217
Cass,Sch,010090150,26,3002,Grand Ave Sch,Mrs. Lori Young,1301 Grand Ave,,Beardstown,62618 8092,217323-3585,P,093,47,18,4,170531000218
Cass,Dist,010090640,26,0000,Virginia CUSD 64,Mr. Gary DePatis,651 S Morgan St,,Virginia,62691 1547,217452-3085,P-12,093,47,18,2,1740410
Cass,Sch,010090640,26,0003,Virginia Jr/ Sr High School,Mrs. Mekelle Neathery,651 S Morgan St,,Virginia,62691 1547,217452-3087,6-12,093,47,18,4,174041004070
Cass,Sch,010090640,26,2001,Virginia Elem School,Mrs. Mekelle Neathery,651 S Morgan St,,Virginia,62691 1547,217452-3363,P-5,093,47,18,4,174041004871
Cass,Dist,010092620,26,0000,A-C Central CUSD 262,Mr. Timothy Page,PO Box 260,501 W Buchanan St,Ashland,62612 0260,217476-8112,K-12,093,47,18,2,1700105
Cass,Sch,010092620,26,0002,A-C Central High School,Mrs. Candi Shaver,PO Box 260,501 W Buchanan St,Ashland,62612 0260,217476-3312,9-12,093,47,18,4,170010505357
Cass,Sch,010092620,26,1002,A-C Central Middle School,Mrs. Candi Shaver,PO Box 260,501 W Buchanan St,Ashland,62612 0260,217476-3312,5-8,093,47,18,4,170010500245
Cass,Sch,010092620,26,2001,A-C Central Elementary School,Mrs. Ashley Trueblood,191 S Bluff St,191 S Bluff St,Chandlerville,62627 9128,217458-2224,P-4,093,47,18,4,170010505359
Morgan,Dist,010690010,26,0000,Franklin CUSD 1,Dr. Curtis R Simonson,412 Wyatt St,412 Wyatt St,Franklin,62638 5177,217675-2395,P-12,100,50,18,2,1715750
Morgan,Sch,010690010,26,0001,Franklin Jr/Sr High School,Mr. Jeff Waggener,110 State,,Franklin,62638 4933,217675-2395,6-12,100,50,18,4,171575001885
Morgan,Sch,010690010,26,2005,Franklin East Grade School,Mrs. Christy Willman,412 Wyatt St,,Franklin,62638 5177,217675-2334,P-2,100,50,18,4,171575005160
Morgan,Sch,010690010,26,2006,Franklin Elementary School,Mrs. Christy Willman,110 State,,Franklin,62638 4933,217675-2395,3-5,100,50,18,4,
Morgan,Dist,010690060,26,0000,Waverly CUSD 6,Mr. Dustin W Day,201 N Miller St,,Waverly,62692 1041,217435-8121,P-12,100,50,18,2,1741280
Morgan,Sch,010690060,26,0001,Waverly Junior/Senior High School,Mr. Dustin Day,201 N Miller St,,Waverly,62692 1041,217435-2211,7-12,100,50,18,4,174128004145
Morgan,Sch,010690060,26,2002,Waverly Elementary School,Mrs. Tamara Hermes,499 W Elm St,,Waverly,62692 1039,217435-2331,P-6,100,50,18,4,174128004144
Morgan,Dist,010690110,26,0000,Meredosia-Chambersburg CUSD 11,Mr. Thad Walker,830 Main St,830 Main St,Meredosia,62665 7357,217584-1744,P-12,100,50,18,2,1725680
Morgan,Sch,010690110,26,0001,Meredosia-Chambersburg High Sch,Mr. Jeff Abell,830 Main St,,Meredosia,62665 0440,217584-1744,9-12,100,50,18,4,172568002776
Morgan,Sch,010690110,26,1001,Meredosia-Chambersburg Jr High,Mr. Jeff Abell,830 Main St,,Meredosia,62665 0440,217584-1744,6-8,100,50,18,4,172568002777
Morgan,Sch,010690110,26,2003,Meredosia-Chambersburg Elem Sch,Mr. Thad W. Walker,830 Main Street,830 Main St,Meredosia,62665 0440,217584-1744,P-5,100,50,18,4,172568004736
Morgan,Dist,010690270,26,0000,Triopia CUSD 27,Mr. Adam Dean,2204 Concord Arenzville Rd,,Concord,62631 5017,217457-2283,P-12,100,50,18,2,1710830
Morgan,Sch,010690270,26,0001,Triopia Jr-Sr High School,Mr. Josh Sorrells,2204 Concord Arenzville Rd,,Concord,62631 5017,217457-2281,7-12,100,50,18,4,171083001324
Morgan,Sch,010690270,26,2002,Triopia Grade School,Mrs. Jamie Hobrock,2206 Concord Arenzville Rd,,Concord,62631 5017,217457-2284,P-6,100,50,18,4,171083001322
Morgan,Dist,010691170,22,0000,Jacksonville SD 117,Mr. Steve Ptacek,211 W State St,,Jacksonville,62650 1997,217243-9411,P-12,100,50,18,2,1720280
Morgan,Sch,010691170,22,0014,Jacksonville High School,Mr. Joey Dion,1211 N Diamond St,,Jacksonville,62650 1223,217243-4384,9-12,100,50,18,4,172028002280
Morgan,Sch,010691170,22,1013,Jacksonville Middle School,Mr. Gary Barlow,664 Lincoln Ave,,Jacksonville,62650 2384,217243-4384,5-8,100,50,18,4,172028002285
Morgan,Sch,010691170,22,2001,Eisenhower Elem School,Mrs. Beth Brockschmidt,1901 W Lafayette Ave,,Jacksonville,62650 1010,217245-5107,K-5,100,50,18,4,172028002282
Morgan,Sch,010691170,22,2005,Washington Elem School,Ms. Mary Camerer,524 S Kosciusko St,,Jacksonville,62650 2865,217243-6711,K-5,100,50,18,4,172028002279
Morgan,Sch,010691170,22,2006,Lincoln Elem School,Ms. Sue Lovdahl,320 W Independence Ave,,Jacksonville,62650 1350,217245-8720,K-5,100,50,18,4,172028002289
Morgan,Sch,010691170,22,2007,South Jacksonville Elem School,Mr. Tim Chipman,1700 S West St,,South Jacksonville,62650 3279,217245-5514,K-5,100,50,18,4,172028002283
Morgan,Sch,010691170,22,2008,North Jacksonville School,Mrs. Bobbie Mills,1626 State Highway 78 N,,Jacksonville,62650 6228,217245-4084,K-5,100,50,18,4,172028002288
Morgan,Sch,010691170,22,2009,Murrayville-Woodson Elem School,Mrs. Emily English,PO Box 170,307 Masters St,Murrayville,62668 0170,217882-3121,K-5,100,50,18,4,172028002286
Morgan,Sch,010691170,22,3011,Special Education and Student Services,Mrs. Barbie Davidsmeyer,3 W Central Park Plz,,Jacksonville,62650 2069,217243-7402,P,100,50,18,4,172028002284
Morgan,Sch,010691170,22,3012,The Early Years,Mrs. Sarah English,516 Jordan St,,Jacksonville,62650 1997,217243-2876,P,100,50,18,4,172028004190
Morgan,Sch,010691170,22,3013,Crossroad Learning Center,Mrs. Jill Dillard,30 N Central Park Plz,,Jacksonville,62650 2024,217243-0065,K-12,100,50,18,4,172028006395
Pike,Dist,010750030,26,0000,Pleasant Hill CUSD 3,Mr. Ron Edwards,PO Box 277,501 E Quincy St,Pleasant Hill,62366 0277,217734-2311,P-12,100,50,18,2,1731890
Pike,Sch,010750030,26,0002,Pleasant Hill High School,Mr. Ron D Edwards,PO Box 277,501 E Quincy St,Pleasant Hill,62366 0277,217734-2311,9-12,100,50,18,4,173189003346
Pike,Sch,010750030,26,2001,Pleasant Hill Elem School,Mr. Ryan S Lowe,PO Box 277,501 E Quincy St,Pleasant Hill,62366 0277,217734-2311,P-8,100,50,18,4,173189003345
Pike,Dist,010750040,26,0000,Griggsville-Perry CUSD 4,Mr. Kent Hawley,PO Box 439,202 N Stanford,Griggsville,62340 0439,217833-2352,P-12,100,50,18,2,1717790
Pike,Sch,010750040,26,0002,Griggsville-Perry High School,Mrs. Jillian Theis,PO Box 439,202 N Stanford St,Griggsville,62340 0439,217833-2352,9-12,100,50,18,4,171779002073
Pike,Sch,010750040,26,1002,Griggsville-Perry Middle School,Mr. Jeff Bourne,PO Box 98,201 E North St,Perry,62362 0098,217236-9161,5-8,100,50,18,4,171779001063
Pike,Sch,010750040,26,2001,Griggsville-Perry Primary School,Mrs. Jillian Theis,PO Box 439,202 N Stanford St,Griggsville,62340 0439,217833-2352,P-4,100,50,18,4,171779004652
Pike,Dist,010750100,26,0000,Pikeland CUSD 10,Ms. Paula Hawley,512 S Madison St,,Pittsfield,62363 1960,217285-2147,P-12,100,50,18,2,1731710
Pike,Sch,010750100,26,0009,Pittsfield High School,Mrs. Angie Greger,201 E Higbee St,,Pittsfield,62363 1946,217285-6888,9-12,100,50,18,4,173171003332
Pike,Sch,010750100,26,2007,Pittsfield South Elem School,Mr. Steven Doug Smith,655 Clarksville Rd,,Pittsfield,62363 1801,217285-2431,P-2,100,50,18,4,173171003333
Pike,Sch,010750100,26,2010,Pikeland Community School,Mrs. Lisa Jockisch,601 Piper Ln,,Pittsfield,62363 1982,217285-9462,3-8,100,50,18,4,173171005518
Pike,Dist,010750120,26,0000,Western CUSD 12,Mrs. Jessica Funk,401 McDonough St,,Barry,62312 1031,217335-2323,P-12,100,50,18,2,1701387
Pike,Sch,010750120,26,0001,Western High School,Mrs. Constance Thomas,401 McDonough St,,Barry,62312 1031,217335-2323,9-12,100,50,18,4,170138705910
Pike,Sch,010750120,26,1001,Western Jr High School,Mrs. Brandi Pennock,PO Box 189,300 Chaney St,Kinderhook,62345 0189,217432-8324,"P,6-8",100,50,18,4,170138705901
Pike,Sch,010750120,26,2001,Western Barry Elem,Mrs. Constance Thomas,401 McDonough St,,Barry,62312 1031,217335-2323,K-5,100,50,18,4,170138705902
Scott,Dist,010860010,26,0000,Winchester CUSD 1,Dr. Kevin Blankenship,149 S Elm St,,Winchester,62694 1246,217742-3175,P-12,100,50,18,2,1742660
Scott,Sch,010860010,26,0001,Winchester High School,Mr. Dennis Vortman,200 W Cross St,,Winchester,62694 1243,217742-3151,9-12,100,50,18,4,174266004288
Scott,Sch,010860010,26,2002,Winchester Elem School,Mr. Andy Stumpf,283 S Elm St,,Winchester,62694 1248,217742-9551,P-8,100,50,18,4,174266004287
Scott,Dist,010860020,26,0000,Scott-Morgan CUSD 2,Dr. Kevin Blankenship,PO Box 230,100 W Rockwood St,Bluffs,62621 0230,217754-3351,P-12,100,50,18,2,1706600
Scott,Sch,010860020,26,0001,Bluffs High School,Mr. Joe Kuhlmann,100 W Rockwood St,,Bluffs,62621 8114,217754-3815,9-12,100,50,18,4,170660000348
Scott,Sch,010860020,26,1001,Bluffs Junior High School,Mr. Joe Kuhlmann,PO Box 230,100 W Rockwood St,Bluffs,62621 0230,217754-3815,6-8,100,50,18,4,170660004552
Scott,Sch,010860020,26,2001,Bluffs Elementary School,Mr. Joe Kuhlmann,PO Box 230,100 W Rockwood St,Bluffs,62621 0230,217754-3714,P-5,100,50,18,4,170660004551
Bond,Dist,030030010,26,0000,Mulberry Grove CUSD 1,Mr. Robert Koontz,801 W Wall St,,Mulberry Grove,62262 1049,618326-8812,P-12,107,54,13,2,1727450
Bond,Sch,030030010,26,0001,Mulberry Grove Sr High School,Mr. Robert Koontz,801 W Wall St,,Mulberry Grove,62262 1049,618326-8812,9-12,107,54,13,4,172745002912
Bond,Sch,030030010,26,1001,Mulberry Grove Jr High School,Mr. Robert Koontz,801 W Wall St,,Mulberry Grove,62262 1049,618326-8812,6-8,107,54,13,4,172745004756
Bond,Sch,030030010,26,2001,Mulberry Grove Elem School,Ms. Casie Bowman,801 W Wall St,,Mulberry Grove,62262 1049,618326-8811,P-5,107,54,13,4,172745004755
Bond,Dist,030030020,26,0000,Bond County CUSD 2,Wes Olson,1008 N Hena St,,Greenville,62246 1378,618664-0170,P-12,107,54,15,2,1717730
Bond,Sch,030030020,26,0001,Bond Cty Comm Unit 2 High School,Mrs. Kara Harris,1000 E State Route 140,,Greenville,62246 4202,618664-1370,9-12,107,54,15,4,171773002067
Bond,Sch,030030020,26,1002,Greenville Jr High School,Gary Brauns,1200 Jr High Dr,,Greenville,62246 4203,618664-1226,6-8,107,54,15,4,171773002068
Bond,Sch,030030020,26,2003,Greenville Elem School,Mr. Eric Swingler,800 N Dewey St,,Greenville,62246 1383,618664-3117,P-5,107,54,15,4,171773002066
Bond,Sch,030030020,26,2004,Pocahontas Center,Mr. Jason Rakers,4 E State St,,Pocahontas,62275 3038,618669-2296,P-8,107,54,15,4,171773002069
Bond,Sch,030030020,26,2005,Sorento Elem School,Mrs. Amy Jackson,510 S Main St,,Sorento,62086 3017,217272-4111,P-8,107,54,13,4,171773002070
Bond,Sch,030030020,26,3002,Bond County CUSD 2 Early Childhood Center,Meg File,1318 E State Route 140,,Greenville,62246 1396,618664-5009,P,107,54,15,4,(Pending)
Christian,Dist,030110010,26,0000,Morrisonville CUSD 1,Mr. David Meister,PO Box 13,301 School St,Morrisonville,62546 0013,217526-4431,P-12,095,48,13,2,1726760
Christian,Sch,030110010,26,0002,Morrisonville High School,Dave Meister,PO Box 13,204 N Perrine St,Morrisonville,62546 0013,217526-4432,9-12,095,48,13,4,172676002858
Christian,Sch,030110010,26,1001,Morrisonville Jr High School,Dave Meister,PO Box 13,204 N Perrine St,Morrisonville,62546 0013,217526-4432,7-8,095,48,13,4,172676002857
Christian,Sch,030110010,26,2001,Morrisonville Elem School,Dr. Megan  Hanlon,PO Box 13,313 School St,Morrisonville,62546 0013,217526-4441,P-6,095,48,13,4,172676004743
Christian,Dist,030110030,26,0000,Taylorville CUSD 3,Dr. Chris Dougherty,815B W Springfield Rd,,Taylorville,62568 1849,217824-4951,P-12,095,48,13,2,1738700
Christian,Sch,030110030,26,0006,Taylorville Sr High School,Mr. Matthew Hutchison,815 W Springfield Rd,,Taylorville,62568 1245,217824-2268,9-12,095,48,13,4,173870003938
Christian,Sch,030110030,26,1005,Taylorville Jr High School,Mrs. Jessica Miller,120 E Bidwell St,,Taylorville,62568 1358,217824-4924,5-8,095,48,13,4,173870003937
Christian,Sch,030110030,26,2001,Memorial Elem School,Mr. Eric Bruder,101 E Adams St,,Taylorville,62568 2201,217287-7929,K-4,095,48,13,4,173870003934
Christian,Sch,030110030,26,2003,North Elem School,Mrs. Karen Kuntzman,805 N Cherokee St,,Taylorville,62568 1450,217824-3315,P-2,095,48,13,4,173870003935
Christian,Sch,030110030,26,3003,Taylorville Alternative School,Dr. Chris Dougherty,100 W Franklin St,,Taylorville,62568 2216,217775-0532,5-12,095,48,13,4,
Christian,Dist,030110040,26,0000,Edinburg CUSD 4,Mr. Ben J Theilen,100 E Martin St,,Edinburg,62531 9713,217623-5603,P-12,096,48,13,2,1713410
Christian,Sch,030110040,26,0002,Edinburg High School,Mrs. Michelle Reiss,100 E Martin St,,Edinburg,62531 9713,217623-5603,9-12,096,48,13,4,171341001632
Christian,Sch,030110040,26,1001,Edinburg Jr High School,Mrs. Michelle Reiss,100 E Martin St,,Edinburg,62531 9713,217623-5603,6-8,096,48,13,4,171341004623
Christian,Sch,030110040,26,2001,Edinburg Elem School,Mrs. Michelle Reiss,100 E Martin St,,Edinburg,62531 9713,217623-5603,P-5,096,48,13,4,171341004622
Christian,Dist,030110080,26,0000,Pana CUSD 8,Mr. Jason J Bauer,PO Box 377,14 Main St,Pana,62557 0377,217562-1500,P-12,095,48,13,2,1730630
Christian,Sch,030110080,26,0006,Pana Sr High School,Mrs. Casey Adam,PO Box 377,201 W 8th St,Pana,62557 0377,217562-6600,9-12,095,48,13,4,173063003186
Christian,Sch,030110080,26,1005,Pana Jr High School,Mrs. Juletta Ellis,PO Box 377,203 W 8th St,Pana,62557 0377,217562-6500,6-8,095,48,13,4,173063003184
Christian,Sch,030110080,26,2001,Lincoln Elem School,Mrs. Kelly Millburg,PO Box 377,614 E 2nd St,Pana,62557 0377,217562-8500,3-5,095,48,13,4,173063003183
Christian,Sch,030110080,26,2003,Washington Elem School,Mrs. Cheri Wysong,PO Box 377,200 Sherman St,Pana,62557 0377,217562-7500,P-2,095,48,13,4,173063003187
Christian,Dist,030110140,24,0000,South Fork SD 14,Mr. Chris E Clark,PO Box 20,612 Dial St,Kincaid,62540 0020,217237-4333,P-12,096,48,13,2,1736640
Christian,Sch,030110140,24,0001,South Fork Jr Sr High School,Mr. Steve Groll,PO Box 20,612 Dial Street,Kincaid,62540 4457,217237-4333,6-12,096,48,13,4,173664005069
Christian,Sch,030110140,24,2001,South Fork Elementary School,Mrs. Michelle Rogers,PO Box 20,550 Prairie Street,Kincaid,62540 4532,217237-4331,P-5,096,48,13,4,173664005070
Effingham,Dist,030250100,26,0000,Altamont CUSD 10,Dr. Steve Mayerhofer,7 S Ewing St,,Altamont,62411 1265,618483-6195,P-12,107,54,15,2,1703510
Effingham,Sch,030250100,26,0001,Altamont High School,Mr. Jerry Tkachuk,7 S Ewing St,,Altamont,62411 1265,618483-6194,9-12,107,54,15,4,170351000034
Effingham,Sch,030250100,26,2002,Altamont Grade School,Mr. Doug Hill,407 S Edwards St,,Altamont,62411 1701,618483-5171,P-8,107,54,15,4,170351000033
Effingham,Dist,030250200,26,0000,Beecher City CUSD 20,Mr. Philip E Lark,438 E State Highway 33,,Beecher City,62414 2219,618487-5100,P-12,107,54,15,2,1705460
Effingham,Sch,030250200,26,0001,Beecher City Jr-Sr High School,Mr. Brian Deadmond,438 E State Highway 33,,Beecher City,62414 2219,618487-5100,6-12,107,54,15,4,170546000225
Effingham,Sch,030250200,26,2003,Beecher City Grade School,Mrs. Karen Hanfland,306 E Vine,,Beecher City,62414 0098,618487-5100,P-5,107,54,15,4,170546000224
Effingham,Dist,030250300,26,0000,Dieterich CUSD 30,Mr. Cary Jackson,PO Box 187,205 S Pine St,Dieterich,62424 0187,217925-5249,P-12,109,55,15,2,1712240
Effingham,Sch,030250300,26,0001,Dieterich Jr/Sr High School,Mr. Scott Kocher,PO Box 187,108 W Church St,Dieterich,62424 0187,217925-5247,7-12,109,55,15,4,171224001477
Effingham,Sch,030250300,26,2002,Dieterich Elem School,Mr. Josh Benefiel,PO Box 187,205 S Pine St,Dieterich,62424 0187,217925-5248,P-6,109,55,15,4,171224004604
Effingham,Dist,030250400,26,0000,Effingham CUSD 40,Mr. Mark E Doan,PO Box 130,2803 S Banker St,Effingham,62401 0130,217540-1501,P-12,107,54,15,2,1713560
Effingham,Sch,030250400,26,0001,Effingham High School,Mr. Kurt Roberts,1301 W Grove Ave,,Effingham,62401 1994,217540-1100,9-12,107,54,15,4,171356001648
Effingham,Sch,030250400,26,1001,Effingham Junior High School,Mr. Albert C Lewis,600 S Henrietta St,,Effingham,62401 1951,217540-1300,6-9,107,54,15,4,171356000654
Effingham,Sch,030250400,26,2002,Central Grade School,Mrs. Amy Niebrugge,3901 S Banker St.,,Effingham,62401 5405,217540-1400,"P,2-6",109,55,15,4,171356002291
Effingham,Sch,030250400,26,2006,Early Learning Center,Mrs. Jennifer Fox,3224 S Banker St,,Effingham,62401 2910,217540-1460,K,109,55,15,4,171356001650
Effingham,Sch,030250400,26,2008,South Side Grade School,Mrs. Cheri Marten,211 W Douglas Ave,,Effingham,62401 2720,217540-1530,1-2,107,54,15,4,171356001652
Effingham,Dist,030250500,26,0000,Teutopolis CUSD 50,Mr. Matthew Sturgeon,PO Box 607,801 W Main St,Teutopolis,62467 0607,217857-3535,P-12,109,55,15,2,1738760
Effingham,Sch,030250500,26,0001,Teutopolis High School,Mr. Greg Beck,801 W Main St,,Teutopolis,62467 1271,217857-3139,9-12,107,54,15,4,173876003944
Effingham,Sch,030250500,26,1001,Teutopolis Junior High School,Mr. Pat Drees,904 W Water St,,Teutopolis,62467 1050,217857-6678,7-8,107,54,15,4,173876001890
Effingham,Sch,030250500,26,2002,Teutopolis Grade School,Mrs. Sherry Harmon,309 E Main St,,Teutopolis,62467 1314,217857-3232,P-6,109,55,15,4,173876003943
Fayette,Dist,030262010,26,0000,Brownstown CUSD 201,Mr. Michael Shackelford,421 S College Ave,,Brownstown,62418 1129,618427-3355,P-12,107,54,15,2,1707440
Fayette,Sch,030262010,26,0003,Brownstown High School,Mr. Jeffrey Wooters,421 S College Ave,,Brownstown,62418 1129,618427-3839,9-12,107,54,15,4,170744000383
Fayette,Sch,030262010,26,1001,Brownstown Jr High School,Mr. Jeff Wooters,421 S College Ave,,Brownstown,62418 1129,618427-3839,7-8,107,54,15,4,170744000382
Fayette,Sch,030262010,26,2001,Brownstown Elem School,Mrs. Sherry Harmon,460 W South St,,Brownstown,62418 1120,618427-3368,P-6,107,54,15,4,170744004556
Fayette,Dist,030262020,26,0000,St Elmo CUSD 202,Julie Healy,1200 N Walnut St,,Saint Elmo,62458 1368,618829-3264,P-12,107,54,15,2,1737230
Fayette,Sch,030262020,26,0002,St Elmo Sr High School,Brian R Garrard,300 W 12th St,,Saint Elmo,62458 1324,618829-3227,9-12,107,54,15,4,173723003864
Fayette,Sch,030262020,26,1001,St Elmo Jr High School,Brian R Garrard,300 W 12th St,,Saint Elmo,62458 1324,618829-3227,7-8,107,54,15,4,173723003863
Fayette,Sch,030262020,26,2001,St Elmo Elem School,Sean P Hannagan,519 W 2nd St,,Saint Elmo,62458 1153,618829-3263,P-6,107,54,15,4,173723004843
Fayette,Dist,030262030,26,0000,Vandalia CUSD 203,Dr. Jennifer D Garrison,1109 N 8th St,,Vandalia,62471 1240,618283-4525,P-12,107,54,15,2,1740140
Fayette,Sch,030262030,26,0001,Vandalia Community High School,Mr. Randy Protz,1109 N 8th St,,Vandalia,62471 1240,618283-5155,9-12,107,54,15,4,174014004044
Fayette,Sch,030262030,26,2008,Vandalia Elementary School,Mrs. Stacy Mesnard,1017 W Fletcher St,,Vandalia,62471 1007,618283-5166,P-3,107,54,15,4,174014004629
Fayette,Sch,030262030,26,2009,Vandalia Junior High School,Mr. Brian Kern,1011 W Fletcher St,,Vandalia,62471 1007,618283-5151,4-8,107,54,15,4,174014006378
Fayette,Dist,030262040,26,0000,Ramsey CUSD 204,Mrs. Melissa Ritter,702 W 6th St,,Ramsey,62080 0010,618423-2335,P-12,107,54,15,2,1733090
Fayette,Sch,030262040,26,0002,Ramsey High School,Mrs. Ginger Edwards,702 W 6th St,,Ramsey,62080 0010,618423-2333,6-12,107,54,15,4,173309003435
Fayette,Sch,030262040,26,2001,Ramsey Elem School,Mr. Travis Portz,516 W 6th St,,Ramsey,62080 0030,618423-2010,P-5,107,54,15,4,173309003434
Montgomery,Dist,030680020,26,0000,Panhandle CUSD 2,Mr. Aaron Hopper,509 N Prairie St,509 N Prairie St,Raymond,62560 4906,217229-4215,P-12,095,48,13,2,1730660
Montgomery,Sch,030680020,26,0001,Lincolnwood High School,Mr. Ken Schuster,507 N Prairie St,,Raymond,62560 4906,217229-4237,9-12,095,48,13,4,173066003190
Montgomery,Sch,030680020,26,1002,Lincolnwood Jr High School,Mr. Ken Schuster,507 N Prairie St,,Raymond,62560 4906,217229-4237,6-8,095,48,13,4,173066003192
