RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,Grades Served,Summative Designation,Summative Designation: Student Group(s),Title 1 Status,State Senate District,State Representative District,EBF Tier,% EBF Capacity to Meet Expectations,# School Enrollment,$ Site-Level Per-Pupil Expenditures - Federal,$ Site-level Per-Pupil Expenditures - State/Local,$ Site-level PEr-Pupil Expenditures - Subtotal,$ District Centralized Per-Pupil Expenditure - Federal,$ District Centralized Per-Pupil Expenditure - State/Local,$ District Centralized Per-Pupil Expenditure - Subtotal,$ Total Per-Pupil Expenditures - Federal,$ Total Per-Pupil Expenditures - State/Local,$ Total Per-Pupil Expenditures - Subtotal,$ Exclusions,$ Total Expenditures,$ Local Property Taxes 2017-18,% Local Property Taxes 2017-18,$ Other Local Funding 2017-18,% Other Local Funding 2017-18,$ General State Aid 2017-18,% General State Aid 2017-18,$ Other State Funding 2017-18,% Other State Funding 2017-18,$ Federal Funding 2017-18,% Federal Funding 2017-18,$ Total Revenue Source 2017-18,$ EAV per Pupil 2017-18,$ Total School Tax Rate per $100 2017-18,$ Instructional Expenditure per Pupil 2017-18,$ Operating Expenditures 2017-18,$ Instruction 2017-18,% Instruction 2017-18,$ General Admin 2017-18,% General Admin 2017-18,$ Supporting Services 2017-18,% Supporting Services 2017-18,$ Other Expenditures 2017-18,% Other Expenditures 2017-18,$ Education Fund 2017-18,% Education Fund 2017-18,$ Operations/B/M 2017-18,% Operations/B/M 2017-18,$ Transportation 2017-18,% Transportation 2017-18,$ Debt Service 2017-18,% Debt Service 2017-18,$ Tort 2017-18,% Tort 2017-18,$ Munic. Ret. / Soc. Security 2017-18,% Munic. Ret. / Soc. Security 2017-18,$ Fire Prev. & Safety 2017-18,% Fire Prev. & Safety 2017-18,$ Capital Projects Fund 2017-18,% Capital Projects Fund 2017-18,$ Total Expenditures 2017-18
010010030262008,School,Central 3-4 Middle School,Central CUSD 3,Golden,Adams,UNIT,MEDIUM,ELEMENTARY, 3 4,Commendable,All Students,Schoolwide Title I Program,47,94,1,64.1,125,253.7216,4317.1768,4570.8984,525.0821,3620.1878,4145.2699,778.8037,7937.3646,8716.1683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010010040260000,District,,CUSD 4,Mendon,Adams,UNIT,MEDIUM,,,,,,,,2,70,680,246.1207316,3870.786971,4116.907702,248.6373934,4715.28007,4963.917463,494.758125,8586.06704,9080.825165,780242.06,6955203.172,3773407,49.3,339403,4.4,2597629,33.9,513480,6.7,432284,5.6,7656203,109223.06,5.38,4899.45,8765.73,3093560,47.5,799156,12.3,1674467,25.7,946442,14.5,4313574,66.2,307746,4.7,571056,8.8,448950,6.9,676687,10.4,195612,3,0,0,0,0,6513625
010010040260001,School,Unity High School,CUSD 4,Mendon,Adams,UNIT,MEDIUM,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",47,94,2,70,199.75,71.49,4737.16,4808.65,253.93,5099.89,5353.82,325.42,9837.05,10162.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010010040262006,School,Unity Elementary School,CUSD 4,Mendon,Adams,UNIT,MEDIUM,ELEMENTARY,PK K 1 2 3,Underperforming,White,Schoolwide Title I Program,47,94,2,70,226.25,563.24,3801.56,4364.8,246.6,4085.12,4331.72,809.84,7886.68,8696.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010010040262007,School,Unity Middle School,CUSD 4,Mendon,Adams,UNIT,MEDIUM,ELEMENTARY, 4 5 6 7 8,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",47,94,2,70,254,100.98,3251.12,3352.1,246.29,4974.13,5220.42,347.27,8225.25,8572.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010011720220000,District,,Quincy SD 172,Quincy,Adams,UNIT,LARGE,,,,,,,,2,72.2,6443.305,808.7279709,4998.773645,5807.501616,306.37,3977.98,4284.35,1115.097971,8976.753645,10091.85162,34668255.28,99693133.25,39528991,53,4223768,5.7,15504795,20.8,6312780,8.5,8971446,12,74541780,157503.71,3.98,6615,11158.31,36716348,37.1,2762165,2.8,23387064,23.7,35984419,36.4,49833987,50.4,5071590,5.1,3653046,3.7,6387503,6.5,2390941,2.4,3169494,3.2,879482,0.9,27463953,27.8,98849996
010011720220003,School,Quincy Sr High School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,47,94,2,72.2,1808.115,223.88,5211.36,5435.24,306.37,3977.98,4284.35,530.25,9189.34,9719.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010011720221003,School,Quincy Jr High School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,MIDDLE SCHL, 6 7 8,Underperforming,"CWD, Hispanic or Latino, Black",Schoolwide Title I Program,47,94,2,72.2,1490.3,199.89,4396.68,4596.57,306.37,3977.98,4284.35,506.26,8374.66,8880.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010011720222004,School,Sarah Atwater Denman Elementary School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY, 2 3 4 5,Commendable,All Students,Schoolwide Title I Program,47,94,2,72.2,379.26,976.69,5566.41,6543.1,306.37,3977.98,4284.35,1283.06,9544.39,10827.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010011720222006,School,Colonel George Iles Elementary School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY, K 1 2 3 4 5,Commendable,All Students,Schoolwide Title I Program,47,94,2,72.2,592,925.61,4941.87,5867.48,306.37,3977.98,4284.35,1231.98,8919.85,10151.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010011720222007,School,Thomas S Baldwin Elementary School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY, K 1 2,,,Schoolwide Title I Program,47,94,2,72.2,275,918.29,5566.71,6485,306.37,3977.98,4284.35,1224.66,9544.69,10769.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010011720222008,School,Sarah Atwater Denman Elementary Site 1,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY, K 1,,,Schoolwide Title I Program,47,94,2,72.2,147,951.07,5361.54,6312.61,306.37,3977.98,4284.35,1257.44,9339.52,10596.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010011720222009,School,Thomas S Baldwin Elementary School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY, 3 4 5,Commendable,All Students,Schoolwide Title I Program,47,94,2,72.2,270.5,888.88,5312.57,6201.45,306.37,3977.98,4284.35,1195.25,9290.55,10485.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010011720222016,School,Lincoln-Douglas Elementary School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY, K 1 2 3 4 5,Commendable,All Students,Schoolwide Title I Program,47,94,2,72.2,581.63,844.66,4972.98,5817.64,306.37,3977.98,4284.35,1151.03,8950.96,10101.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010011720222017,School,Dr. Abby Fox Rooney Elementary School,Quincy SD 172,Quincy,Adams,UNIT,LARGE,ELEMENTARY, K 1 2 3 4 5,Underperforming,CWD,Schoolwide Title I Program,47,94,2,72.2,540,881.45,5281.67,6163.12,306.37,3977.98,4284.35,1187.82,9259.65,10447.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010011720223004,School,Early Childhood,Quincy SD 172,Quincy,Adams,UNIT,LARGE,,PK K,,,,47,94,2,72.2,349,5521.62,4859.21,10380.83,306.37,3977.98,4284.35,5827.99,8837.19,14665.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010050010260000,District,,Brown County CUSD 1,Mount Sterling,Brown,UNIT,MEDIUM,,,,,,,,2,73.4,721,42.68955617,2397.61251,2440.302067,0,1578.459348,1578.459348,42.68955617,3976.071859,4018.761415,83211.54,2980738.52,4261725,46.4,1323775,14.4,2271953,24.7,870227,9.5,452290,4.9,9179970,134753.21,4.63,5583,10764.68,3702591,40.8,634386,7,2784665,30.7,1945452,21.5,5899659,65.1,698405,7.7,426522,4.7,848174,9.4,344001,3.8,324613,3.6,14541,0.2,511179,5.6,9067094
010050010260001,School,Brown County High School,Brown County CUSD 1,Mount Sterling,Brown,UNIT,MEDIUM,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",47,93,2,73.4,197,36.81,2537.16,2573.97,0,1598.42,1598.42,36.81,4135.58,4172.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010050010261002,School,Brown County Middle School,Brown County CUSD 1,Mount Sterling,Brown,UNIT,MEDIUM,MIDDLE SCHL, 5 6 7 8,Commendable,All Students,Schoolwide Title I Program,47,93,2,73.4,201,44.9,2845.91,2890.81,0,1535.16,1535.16,44.9,4381.07,4425.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010050010262002,School,Brown County Elementary School,Brown County CUSD 1,Mount Sterling,Brown,UNIT,MEDIUM,ELEMENTARY,PK K 1 2 3 4,Commendable,All Students,Schoolwide Title I Program,47,93,2,73.4,323,44.9,2033.53,2078.43,0,1593.23,1593.23,44.9,3626.76,3671.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010090150260000,District,,Beardstown CUSD 15,Beardstown,Cass,UNIT,MEDIUM,,,,,,,,1,55.7,1579.35,1556.458201,5589.739633,7146.197835,17.07878083,79.05142907,96.1302099,1573.536982,5668.791062,7242.328044,3262439,14700609.8,3430868,20.3,1043396,6.2,9223371,54.5,1779760,10.5,1434804,8.5,16912199,42683.95,4.96,5151.89,8043.72,7281522,53.2,571759,4.2,3725682,27.2,2115867,15.5,11364586,83,292405,2.1,344052,2.5,935318,6.8,339151,2.5,416137,3,0,0,3181,0,13694830
010090150260007,School,Beardstown Jr/Sr High School,Beardstown CUSD 15,Beardstown,Cass,UNIT,MEDIUM,HIGH SCHOOL, 5 6 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",47,93,1,55.7,891.75,989.88,5754.08,6743.96,16.65,57.21,73.86,1006.53,5811.29,6817.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010090150262003,School,Gard Elementary School,Beardstown CUSD 15,Beardstown,Cass,UNIT,MEDIUM,ELEMENTARY, K 1 2 3 4,Commendable,All Students,Targeted Assistance Title I Program,47,93,1,55.7,489.5,1897.26,6088.54,7985.8,21.85,146,167.85,1919.11,6234.54,8153.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010090150263002,School,Grand Ave Sch,Beardstown CUSD 15,Beardstown,Cass,UNIT,MEDIUM,PreK,PK,,,"Eligible, but Not a Participant in Title I Program",47,93,1,55.7,177,3654,143.26,3797.26,8.08,11.26,19.34,3662.08,154.52,3816.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010090640260000,District,,Virginia CUSD 64,Virginia,Cass,UNIT,SMALL,,,,,,,,2,71.1,310.01,236.8181349,4594.998355,4831.81649,376,5209,5585,612.8181349,9803.998355,10416.81649,669732,3899049.28,2285105,61.5,237848,6.4,683124,18.4,239609,6.4,272455,7.3,3718141,135932.63,5.96,5064.07,11658.93,1378541,36.3,540361,14.2,1077228,28.3,806494,21.2,2071225,54.5,285869,7.5,203699,5.4,485214,12.8,408045,10.7,135413,3.6,5420,0.1,207739,5.5,3802624
010090640260003,School,Virginia Jr/ Sr High School,Virginia CUSD 64,Virginia,Cass,UNIT,SMALL,HIGH SCHOOL, 6 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",47,93,2,71.1,146.5,0,5489,5489,376,5209,5585,376,10698,11074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010090640262001,School,Virginia Elem School,Virginia CUSD 64,Virginia,Cass,UNIT,SMALL,ELEMENTARY,PK K 1 2 3 4 5,Commendable,All Students,Schoolwide Title I Program,47,93,2,71.1,163.51,449,3794,4243,376,5209,5585,825,9003,9828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010092620260000,District,,A-C Central CUSD 262,Ashland,Cass,UNIT,SMALL,,,,,,,,2,70.2,415.19,0,4586.238581,4586.238581,496.5473354,5522.188657,6018.735993,496.5473354,10108.42724,10604.97457,582477.35,4985556.743,3587428,59.2,316333,5.2,1287664,21.3,516221,8.5,348234,5.8,6055880,132338.4,5.99,4949.13,10324.06,1937731,38.5,597383,11.9,1516319,30.1,978506,19.5,3183824,63.3,371434,7.4,425379,8.5,430444,8.6,438628,8.7,172091,3.4,7500,0.1,639,0,5029939
010092620260002,School,A-C Central High School,A-C Central CUSD 262,Ashland,Cass,UNIT,SMALL,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",47,93,2,70.2,135.44,0,4005.85,4005.85,380.53,5600.44,5980.97,380.53,9606.29,9986.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010092620261002,School,A-C Central Middle School,A-C Central CUSD 262,Ashland,Cass,UNIT,SMALL,MIDDLE SCHL, 5 6 7 8,Commendable,All Students,Targeted Assistance Title I Program,47,93,2,70.2,118.5,0,4130.41,4130.41,621.73,5611.24,6232.97,621.73,9741.65,10363.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010092620262001,School,A-C Central Elementary School,A-C Central CUSD 262,Chandlerville,Cass,UNIT,SMALL,ELEMENTARY,PK K 1 2 3 4,Commendable,All Students,Targeted Assistance Title I Program,47,93,2,70.2,161.25,0,5408.71,5408.71,502,5391.02,5893.02,502,10799.73,11301.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010690010260000,District,,Franklin CUSD 1,Franklin,Morgan,UNIT,SMALL,,,,,,,,2,89.1,289.25,432.1426448,9351.753777,9783.896422,219.2,3677.6,3896.8,651.3426448,13029.35378,13680.69642,2316598.29,6273739.73,2703795,65.3,412971,10,488719,11.8,343531,8.3,188538,4.6,4137554,211553.37,4.57,7051.52,12788.35,1930565,25.1,227314,3,1436358,18.7,4104773,53.3,2931267,38.1,413966,5.4,269948,3.5,25880,0.3,49279,0.6,141262,1.8,61725,0.8,3805683,49.4,7699010
010690010260001,School,Franklin Jr/Sr High School,Franklin CUSD 1,Franklin,Morgan,UNIT,SMALL,HIGH SCHOOL, 3 4 5 6 7 8 9 10 11 12,Commendable,All Students,Targeted Assistance Title I Program,50,100,2,89.1,217.5,85.21,8332.11,8417.32,219.2,3677.6,3896.8,304.41,12009.71,12314.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010690010262005,School,Franklin East Grade School,Franklin CUSD 1,Franklin,Morgan,UNIT,SMALL,ELEMENTARY,PK K 1 2,,,Targeted Assistance Title I Program,50,100,2,89.1,71.75,1483.82,12442.66,13926.48,219.2,3677.6,3896.8,1703.02,16120.26,17823.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010690060260000,District,,Waverly CUSD 6,Waverly,Morgan,UNIT,SMALL,,,,,,,,2,77.4,360.05,392.3571684,5281.890415,5674.247584,336.15,4710.67,5046.82,728.5071684,9992.560415,10721.06758,786003.82,4646124.204,3453823,64.2,439930,8.2,952968,17.7,317984,5.9,213976,4,5378681,154843.14,5.33,6737.5,11072.78,2235164,51,250166,5.7,1282841,29.3,610475,13.9,3133115,71.6,289481,6.6,263664,6,300145,6.9,54118,1.2,123098,2.8,0,0,215025,4.9,4378646
010690060260001,School,Waverly Junior/Senior High School,Waverly CUSD 6,Waverly,Morgan,UNIT,SMALL,HIGH SCHOOL, 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",50,100,2,77.4,167,0,5634.71,5634.71,336.15,4710.67,5046.82,336.15,10345.38,10681.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010690060262002,School,Waverly Elementary School,Waverly CUSD 6,Waverly,Morgan,UNIT,SMALL,ELEMENTARY,PK K 1 2 3 4 5 6,Commendable,All Students,Schoolwide Title I Program,50,100,2,77.4,193.05,731.77,4976.68,5708.45,336.15,4710.67,5046.82,1067.92,9687.35,10755.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010690110260000,District,,Meredosia-Chambersburg CUSD 11,Meredosia,Morgan,UNIT,SMALL,,,,,,,,4,107.8,186.5,456.9478284,8990.378633,9447.326461,851.74,6100.968016,6952.708016,1308.687828,15091.34665,16400.03448,467540.19,3526146.62,2461670,71,209066,6,341906,9.9,214157,6.2,238050,6.9,3464849,161216.87,5.68,9448.11,17049.15,1603250,47.4,341598,10.1,953057,28.2,482454,14.3,2372381,70.2,315763,9.3,174224,5.2,174367,5.2,210237,6.2,109952,3.3,14436,0.4,8999,0.3,3380359
010690110260001,School,Meredosia-Chambersburg High Sch,Meredosia-Chambersburg CUSD 11,Meredosia,Morgan,UNIT,SMALL,HIGH SCHOOL, 9 10 11 12,,,"Eligible, but Not a Participant in Title I Program",50,100,4,107.8,49,0,11151.79,11151.79,851.74,7330.93,8182.67,851.74,18482.72,19334.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010690110261001,School,Meredosia-Chambersburg Jr High,Meredosia-Chambersburg CUSD 11,Meredosia,Morgan,UNIT,SMALL,MIDDLE SCHL, 6 7 8,Lowest Performing,All Students,"Eligible, but Not a Participant in Title I Program",50,100,4,107.8,36.5,0,8487.85,8487.85,851.74,7354.43,8206.17,851.74,15842.28,16694.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010690110262003,School,Meredosia-Chambersburg Elem Sch,Meredosia-Chambersburg CUSD 11,Meredosia,Morgan,UNIT,SMALL,ELEMENTARY,PK K 1 2 3 4 5,Lowest Performing,All Students,Targeted Assistance Title I Program,50,100,4,107.8,101,843.77,8123.38,8967.15,851.74,5051.27,5903.01,1695.51,13174.65,14870.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010690270260000,District,,Triopia CUSD 27,Concord,Morgan,UNIT,SMALL,,,,,,,,2,74.8,365,206.6779452,5958.017534,6164.695479,361.5845205,4160.06726,4521.651781,568.2624658,10118.08479,10686.34726,447079.59,4347596.34,2383577,54.9,448719,10.3,992213,22.8,326408,7.5,193876,4.5,4344793,132603.56,4.99,5894.35,10398.67,2051586,47.7,471521,11,1038716,24.1,742073,17.2,2901844,67.4,207004,4.8,350287,8.1,323060,7.5,324716,7.5,130965,3,27846,0.6,38174,0.9,4303896
010690270260001,School,Triopia Jr-Sr High School,Triopia CUSD 27,Concord,Morgan,UNIT,SMALL,HIGH SCHOOL, 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",50,100,2,74.8,180,0,6572.77,6572.77,361.62,4091.45,4453.07,361.62,10664.22,11025.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010690270262002,School,Triopia Grade School,Triopia CUSD 27,Concord,Morgan,UNIT,SMALL,ELEMENTARY,PK K 1 2 3 4 5 6,Commendable,All Students,Targeted Assistance Title I Program,50,100,2,74.8,185,407.77,5359.88,5767.65,361.55,4226.83,4588.38,769.32,9586.71,10356.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010691170220000,District,,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,,,,,,,,2,67,3423.475,284.3083227,5419.214581,5703.522903,605.8355062,4613.064106,5218.899613,890.1438289,10032.27869,10922.42252,11816386.74,49209027.16,20631823,49,3762825,8.9,10166942,24.1,4159508,9.9,3413755,8.1,42134853,133892.62,4.75,6455.27,11385.44,19211403,38.7,1399343,2.8,14346634,28.9,14716968,29.6,29579131,59.5,3578674,7.2,1452235,2.9,2422640,4.9,445502,0.9,1307632,2.6,423417,0.9,10465117,21.1,49674348
010691170220014,School,Jacksonville High School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,HIGH SCHOOL, 9 10 11 12,Underperforming,Black,"Eligible, but Not a Participant in Title I Program",50,100,2,67,1023.095,0,6831.88,6831.88,817.9,4332.31,5150.21,817.9,11164.19,11982.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010691170221013,School,Jacksonville Middle School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,MIDDLE SCHL, 5 6 7 8,Underperforming,"CWD, Multiracial",Schoolwide Title I Program,50,100,2,67,754.5,276.34,4602.86,4879.2,508.04,4234.27,4742.31,784.38,8837.13,9621.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010691170222001,School,Eisenhower Elem School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,ELEMENTARY, K 1 2 3 4 5,Commendable,All Students,Schoolwide Title I Program,50,100,2,67,321.5,212.87,4924.61,5137.48,530.82,5084.56,5615.38,743.69,10009.17,10752.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
