CountyName,RecType,"Region-2
County-3
District-4",Type,School,FacilityName,Administrator,Address,City,Zip,Telephone,GradeServed,State House District,StSen,FedCong,Cat,NCES ID
Cook,District Authorized Charter Sch,150162990,25,241C,Great Lakes Academy Charter ES,Ms. Shavon Mathus,8401 S Saginaw Ave,Chicago,60617 2029,773530-3040,K-7,033,17,02,4,170993006328
Cook,District Authorized Charter Sch,150162990,25,012C,IHSCA Charter High School,Elias Alonzo,2520 S Western Ave,Chicago,60608 4809,773890-8020,9-12,002,01,04,4,170993006103
Cook,District Authorized Charter Sch,150162990,25,013C,Urban Prep Chtr Acad Bronzeville HS,Mr. Joffrey Bywater,521 E 35th St,Chicago,60616 3889,773624-3444,9-12,026,13,01,4,170993006132
Cook,District Authorized Charter Sch,150162990,25,228C,Catalyst Charter-Circle Rock ES,Elizabeth Jamison Dunn,5608 W Washington Blvd,Chicago,60644 3009,773945-5025,K-8,008,04,07,4,170993005935
Cook,District Authorized Charter Sch,150162990,25,015C,EPIC Academy High School,Tawanna Patton,8255 S Houston Ave,Chicago,60617 2191,773535-7930,9-12,025,13,02,4,170993006088
Cook,District Authorized Charter Sch,150162990,25,229C,Academy for Global Citizenship,Ms. Berenice Salas,4647 W 47th St,Chicago,60632 4847,773582-1100,K-8,001,01,03,4,170993006035
Cook,District Authorized Charter Sch,150162990,25,230C,Rowe Elementary,Diana Morquecho,1424 N Cleaver St,Chicago,60642 2331,312445-5870,K-8,010,05,05,4,170993006142
Cook,District Authorized Charter Sch,150162990,25,006C,Noble Street Charter Schools,Amy Hynes,1 N State St Fl 7TH,Chicago,60602 3302,312348-1899,6-12,005,03,07,4,170993003479
Cook,District Authorized Charter Sch,150162990,25,010C,Urban Prep Chtr Acad Englewood HS,Mr. Joseph Mason,6201 S Stewart Ave,Chicago,60621 3247,773535-9724,9-12,005,03,01,4,170993005884
Cook,District Authorized Charter Sch,150162990,25,206C,Locke A Elem Charter Academy,Patrick Love,3141 W Jackson Blvd,Chicago,60612 2729,773265-7232,K-8,010,05,07,4,170993003564
Cook,District Authorized Charter Sch,150162990,25,214C,Asian Human Services -Passage Chrtr,Mr. Jeremiah Riggs,1643 W Bryn Mawr Ave,Chicago,60660 4106,773433-3530,K-8,013,07,09,4,170993005682
Cook,District Authorized Charter Sch,150162990,25,217C,Chicago Math & Sci Elem Charter,Mr. Michael Kuran,7212 N Clark St,Chicago,60626 2416,773761-8960,6-12,014,07,09,4,170993005092
Cook,District Authorized Charter Sch,150162990,25,218C,Namaste Elem Charter School,Ms. April C Shaw,3737 S Paulina St,Chicago,60609 2047,773715-9558,K-8,002,01,03,4,170993005102
Cook,District Authorized Charter Sch,150162990,25,219C,Erie Elem Charter School,Hugo Campuzano,1405 N Washtenaw Ave,Chicago,60622 1632,773486-7161,K-8,004,02,04,4,170993005797
Cook,District Authorized Charter Sch,150162990,25,221C,Legacy Elem Charter School,Liz Goss,3318 W Ogden Ave,Chicago,60623 2651,773542-1640,K-8,009,05,07,4,170993005799
Cook,District Authorized Charter Sch,150162990,25,224C,Providence-Englewood Elem Charter,Ms. Angela Johnson Williams,6515 S Ashland Ave,Chicago,60636 3003,773434-0202,K-8,032,16,07,4,170993005885
Cook,District Authorized Charter Sch,150162990,25,226C,Polaris Elem Charter Academy,Michelle Navarre,620 N Sawyer Ave,Chicago,60624 1528,773534-0820,K-8,010,05,07,4,170993005919
Cook,District Authorized Charter Sch,150162990,25,244C,Moving Everest Charter School,Ms. LaRita Henry,416 N Laramie Ave,Chicago,60644 1906,312683-9695,K-6,008,04,07,4,170993006380
Cook,District Authorized Charter Sch,150162990,25,111C,Art in Motion Charter School,Kara May,7415 S East End Ave,Chicago,60649,773820-9426,7-8,026,13,02,4,
Cook,District Authorized Charter Sch,150162990,25,101C,KIPP Academy Chicago Campus,Billy Warden,116 N Leclaire Ave,Chicago,60644 3408,773938-8553,"K,4-8",010,05,07,4,170993006477
Cook,District Authorized Charter Sch,150162990,25,103C,KIPP Chicago Charters - Bloom Campus,Ellen Sale,5515 S Lowe Ave,Chicago,60621,773938-8565,"K-2,5-8",006,03,07,4,170993006510
Cook,District Authorized Charter Sch,150162990,25,245C,KIPP Chicago Charter School - KIPP One Academy,Rashid Bell,730 N Pulaski Rd,Chicago,60624 1063,773938-8578,"K-3,5-8",010,05,07,4,170993006520
Cook,District Authorized Charter Sch,150162990,25,246C,CICS - Bucktown Campus,Christine Leung,2235 N Hamilton Ave,Chicago,60647 3303,773645-3321,K-8,011,06,05,4,170993006446
Cook,District Authorized Charter Sch,150162990,25,247C,CICS - Longwood Campus,Christine Leung,1309 W 95th St,Chicago,60643,773238-5330,3-12,027,14,01,4,170993006438
Cook,District Authorized Charter Sch,150162990,25,248C,CICS - Prairie Campus,Christine Leung,11530 S Prairie Ave,Chicago,60628 5612,773928-0480,K-8,034,17,02,4,170993006498
Cook,District Authorized Charter Sch,150162990,25,249C,CICS - Washington Pk Campus,Christine Leung,110 E 61st St,Chicago,60637 2116,773347-0200,K-8,005,03,01,4,170993006512
Cook,District Authorized Charter Sch,150162990,25,251C,CICS - West Belden Campus,Christine Leung,2245 N McVicker Ave,Chicago,60639,773637-9430,K-8,003,02,04,4,170993006475
Cook,District Authorized Charter Sch,150162990,25,252C,CICS - Avalon/South Shore,Christine Leung,1501 E 83rd Pl,Chicago,60619 6501,773721-0858,K-8,033,17,01,4,170993006507
Cook,District Authorized Charter Sch,150162990,25,254C,CICS - Irving Park Campus,Christine Leung,3820 N Spaulding Ave,Chicago,60618 4413,773433-5000,K-8,040,20,04,4,170993006462
Cook,District Authorized Charter Sch,150162990,25,255C,CICS - Loomis Primary Campus,Christine Leung,9535 S Loomis St,Chicago,60643 1374,773429-8955,K-2,027,14,01,4,170993006487
Cook,District Authorized Charter Sch,150162990,25,027C,CICS - Quest North Campus,Christine Christine,1443 N Ogden Ave,Chicago,60610 1007,773565-2100,9-12,005,03,07,4,170993006472
Cook,District Authorized Charter Sch,150162990,25,028C,Noble St Chtr-Pritzker College Prep,Carrie Spitz,4131 W Cortland St,Chicago,60639 4923,773394-2848,9-12,004,02,04,4,170993006452
Cook,District Authorized Charter Sch,150162990,25,029C,Noble St Chtr Rauner College Prep,Brendan Bedell,1337 W Ohio St,Chicago,60642 6430,312226-5345,9-12,004,02,05,4,170993006499
Cook,District Authorized Charter Sch,150162990,25,030C,Noble St Chtr-Rowe-Clark MS Acad,Brenda Cora,3645 W Chicago Ave,Chicago,60651 3934,773242-2212,9-12,010,05,07,4,170993006447
Cook,District Authorized Charter Sch,150162990,25,031C,Noble St Chtr-Golder College Prep,Mr. Vincent Gay,1454 W Superior St,Chicago,60642 5255,312265-9925,9-12,004,02,05,4,170993006439
Cook,District Authorized Charter Sch,150162990,25,032C,Noble St Chtr-Comer College Prep,Mr. Trent Kelly,7131 S South Chicago Ave,Chicago,60619,773729-3969,6-12,005,03,01,4,170993006523
Cook,District Authorized Charter Sch,150162990,25,033C,Noble St Chtr-UIC College Prep,Audrey Borling,1231 S Damen Ave,Chicago,60608 1145,312768-4858,9-12,009,05,07,4,170993006515
Cook,District Authorized Charter Sch,150162990,25,034C,Noble St Chtr-Chicago Bulls Prep,Wendy Erskine,2040 W Adams St,Chicago,60612 3052,773534-7599,9-12,010,05,07,4,170993006440
Cook,District Authorized Charter Sch,150162990,25,035C,Noble St Chtr-Muchin College Prep,Emily Mason,1 N State St,Chicago,60602,312445-4680,9-12,005,03,07,4,170993006459
Cook,District Authorized Charter Sch,150162990,25,036C,Noble St Chtr-Johnson College Prep,Matthew Brown,6350 S Stewart Ave,Chicago,60621 3138,312348-1888,9-12,006,03,01,4,170993006494
Cook,District Authorized Charter Sch,150162990,25,037C,Noble St Chtr-Hansberry College Prep - Silver,Kashawndra Wilson,8748 S Aberdeen St,Chicago,60620 3438,773729-3400,9-12,027,14,01,4,170993006454
Cook,District Authorized Charter Sch,150162990,25,038C,Noble St Chtr-DRW Trading College Prep,Jennifer Reid,931 S Homan Ave,Chicago,60624 4108,773893-4500,9-12,009,05,07,4,170993006480
Cook,District Authorized Charter Sch,150162990,25,039C,Noble St Chtr-Butler College Prep - Crimson,Christopher Goins,821 E 103rd St,Chicago,60628 3003,773535-5490,9-12,034,17,02,4,170993006450
Cook,District Authorized Charter Sch,150162990,25,040C,Noble St Chtr-Baker Campus,Ms. Mary Arrigo,2710 E 89th St,Chicago,60617,773535-6460,9-12,026,13,02,4,170993006491
Cook,District Authorized Charter Sch,150162990,25,041C,Noble St Chtr-Noble Campus,Ben Gunty,1010 N Noble St,Chicago,60642 4011,773862-1449,9-12,026,13,02,4,170993006470
Cook,District Authorized Charter Sch,150162990,25,042C,Noble St Chtr-ITW Speer Acad,Tom Mulder,5321 W Grand Ave,Chicago,60639 3009,773622-7484,9-12,003,02,04,4,170993006485
Cook,District Authorized Charter Sch,150162990,25,043C,Noble St Chtr-The Noble Academy,Lauren Boros,1443 N Ogden Ave,Chicago,60610 1007,312574-1527,9-12,009,05,07,4,170993006464
Cook,District Authorized Charter Sch,150162990,25,044C,Noble St Chtr - Mansueto,Darko Simunovic,2911 W 47Th St,Chicago,60632 1949,773349-8200,9-12,022,11,03,4,170993006513
Cook,District Authorized Charter Sch,150162990,25,258C,Univ of Chicago Chtr-Nth Kenwood,Tonya Howell,1119 E 46th St,Chicago,60653 4403,773536-2399,P-5,025,13,07,4,170993006466
Cook,District Authorized Charter Sch,150162990,25,107C,Univ of Chicago Chtr-Woodlawn,Kieran Palmer Klein,6300 S University Ave,Chicago,60637 2719,773752-8101,6-12,026,13,01,4,170993006493
Cook,District Authorized Charter Sch,150162990,25,046C,North Lawndale Prep Chtr-Collins,Tiara Jordan,1313 S Sacramento Dr,Chicago,60623 2218,773542-6766,9-12,009,05,07,4,170993006476
Cook,District Authorized Charter Sch,150162990,25,259C,Acero Chtr Sch Network - Octavio Paz Campus,Karem Gomez,2651 W 23rd St,Chicago,60608 3609,773890-1054,K-8,010,05,07,4,170993006482
Cook,District Authorized Charter Sch,150162990,25,260C,Acero Chtr Sch Network - Rufino Tamayo Campus,Matthew Katz,5135 S California Ave,Chicago,60632 2124,773434-6355,K-8,001,01,04,4,170993006455
Cook,District Authorized Charter Sch,150162990,25,261C,Acero Chtr Sch Network - Carlos Fuentes Campus,Joanne Tanner,2845 W Barry Ave,Chicago,60618 7015,773279-9826,K-8,040,20,04,4,170993006481
Cook,District Authorized Charter Sch,150162990,25,262C,Acero Chtr Sch Network - Bartolome de las Casas,Marissa Akason,1641 W 16th St,Chicago,60608 2039,312432-3224,K-8,002,01,04,4,170993006448
Cook,District Authorized Charter Sch,150162990,25,263C,Acero Chtr Sch Network - Officer Donald J Marquez Campus,Allison Hansen,2916 W 47th St,Chicago,60632 1907,773321-2200,K-8,001,01,04,4,170993006497
Cook,District Authorized Charter Sch,150162990,25,264C,Acero Chtr Sch Network - SPC Daniel Zizumbo Campus,Christopher Allen,4248 W 47th St,Chicago,60632 4402,773579-3470,K-8,001,04,01,4,170993006444
Cook,District Authorized Charter Sch,150162990,25,266C,Acero Chtr Sch Network- Sandra Cisneros Campus,Adam Sparks,2744 W Pershing Rd,Chicago,60632 1631,773376-8830,K-8,021,11,04,4,170993006436
Cook,District Authorized Charter Sch,150162990,25,267C,Acero Chtr Sch Network - Esmeralda Santiago Campus,Melissa Sweazy,2510 W Cortez St,Chicago,60622 3422,312455-5410,K-8,004,02,04,4,170993006521
Cook,District Authorized Charter Sch,150162990,25,268C,Acero Chtr Sch Newtwork - Roberto Clemente Campus,Maisha Copeland,2050 N Natchez Ave,Chicago,60707 3420,312455-5425,K-8,003,02,04,4,170993006524
Cook,District Authorized Charter Sch,150162990,25,049C,Acero Chtr Sch Newtwork- Sor Juana Ines de la Cruz,Molly Robinson,7416 N Ridge Blvd,Chicago,60645,312455-5440,K-12,014,07,09,4,170993006508
Cook,District Authorized Charter Sch,150162990,25,270C,Acero Chtr Sch Network - Brighton Park Campus,Luke Corry,4420 S Fairfield Ave,Chicago,60632 1937,312455-5434,K-8,047,24,05,4,170993006474
Cook,District Authorized Charter Sch,150162990,25,050C,Perspectives Chtr - Joslin Campus,Milena Nedeljkovic,1930 S Archer Ave,Chicago,60616 6505,312225-7400,6-12,006,03,07,4,170993006503
Cook,District Authorized Charter Sch,150162990,25,051C,Perspectives Chtr - Leadership Acad,Eron Powell,8522 S Lafayette Ave,Chicago,60620 1308,773358-6100,6-12,031,16,01,4,170993006437
Cook,District Authorized Charter Sch,150162990,25,052C,Perspectives Chtr - High School of Technology,Eron Powell,8522 S Lafayette Ave,Chicago,60620 1308,773358-6120,9-12,031,16,01,4,170993006441
Cook,District Authorized Charter Sch,150162990,25,053C,Perspectives Chtr -  IIT Campus,Stephen Todd,3663 S Wabash Ave,Chicago,60653 1032,773358-6800,6-12,005,03,01,4,170993006514
Cook,District Authorized Charter Sch,150162990,25,054C,YCCS-Scholastic Achievement HS,Nicole Simpson,4651 W Madison St,Chicago,60644 3646,773921-1315,9-12,010,05,07,4,170993006519
Cook,District Authorized Charter Sch,150162990,25,055C,YCCS- McKinley-Lakeside Leadership Academy,Irma Plaxico,2920 S Wabash Ave,Chicago,60616 3227,312949-5010,9-12,005,03,07,4,170993006479
Cook,District Authorized Charter Sch,150162990,25,056C,YCCS-ASPIRA Pantoja Alt HS,Nestor Corona,3121 N Pulaski Rd,Chicago,60641 5447,773252-0970,9-12,039,20,04,4,170993006504
Cook,District Authorized Charter Sch,150162990,25,057C,YCCS-Association House,David Pieper,1116 N Kedzie Ave Fl 4,Chicago,60651 4152,773772-7170,9-12,009,05,07,4,170993006496
Cook,District Authorized Charter Sch,150162990,25,058C,YCCS-Austin Career Ed Cntr HS,Debra Williams,5352 W Chicago Ave,Chicago,60651 2857,773626-6988,9-12,008,04,07,4,170993006511
Cook,District Authorized Charter Sch,150162990,25,059C,YCCS-CCA Academy HS,Mayra Sampson,1231 S Pulaski Rd,Chicago,60623 1234,773762-2272,9-12,009,05,07,4,170993006463
Cook,District Authorized Charter Sch,150162990,25,061C,YCCS-Community Youth Dev Inst HS,Aaron Royster Jr,7836 S Union Ave,Chicago,60620 2409,773224-2273,9-12,031,16,01,4,170993006468
Cook,District Authorized Charter Sch,150162990,25,060C,YCCS-Progressive Leadership Academy,Ms. Dione Kirksey,6620 S Dr Martin L King Jr Dr,Chicago,60637 3210,773363-3837,9-12,005,03,02,4,170993006490
Cook,District Authorized Charter Sch,150162990,25,062C,YCCS-Albizu Campos Puerto Rican HS,Melissa Lewis,2739 W Division St,Chicago,60622 2854,773342-8022,9-12,004,02,04,4,170993006486
Cook,District Authorized Charter Sch,150162990,25,063C,YCCS-Innovations of Arts Integr HS,Ms. Melissa Cortirla,17 N State St,Chicago,60602,312999-9360,9-12,004,02,04,4,170993006456
Cook,District Authorized Charter Sch,150162990,25,064C,YCCS-Jane Addams Alternative HS,Theresa Comparini,1814 S Union Ave,Chicago,60616 1045,312563-1748,9-12,002,01,04,4,170993006501
Cook,District Authorized Charter Sch,150162990,25,065C,YCCS-Latino Youth Alternative HS,James Hurlburt,2001 S California Ave,Chicago,60608,773648-2130,9-12,009,05,04,4,170993006449
Cook,District Authorized Charter Sch,150162990,25,066C,YCCS-Olive Harvey Mid College HS,Matthew Trujillo,10001 S Woodlawn Ave,Chicago,60628 1645,773291-6517,9-12,034,17,02,4,170993006478
Cook,District Authorized Charter Sch,150162990,25,067C,YCCS-Sullivan House Alt HS,Thomas J Gasttuso,8164 S South Chicago Ave,Chicago,60617 1041,773978-8680,9-12,033,17,01,4,170993006460
Cook,District Authorized Charter Sch,150162990,25,068C,YCCS-Truman Middle College HS,Ms. Michelle Yoo,1145 W Wilson Ave,Chicago,60640 6063,773907-4840,9-12,013,07,09,4,170993006517
Cook,District Authorized Charter Sch,150162990,25,069C,YCCS-Virtual HS,Elizabeth Roth,1900 W Van Buren St,Chicago,60612 3145,312429-0027,9-12,006,03,01,4,
Cook,District Authorized Charter Sch,150162990,25,070C,YCCS-West Town Academy Alt HS,Ms. Diane Rodriguez,500 N Sacramento Blvd,Chicago,60612 1024,312563-9044,9-12,010,05,07,4,170993006442
Cook,District Authorized Charter Sch,150162990,25,071C,YCCS-Westside Holistic Ldr Acad HS,Early King,4909 W Division St,Chicago,60651,773261-0994,9-12,008,04,07,4,170993006445
Cook,District Authorized Charter Sch,150162990,25,072C,YCCS-Youth Connection Leadership Academy,Ms. Lorraine Cruz,3424 S State St,Chicago,60616,312225-4668,9-12,006,03,01,4,170993006518
Cook,District Authorized Charter Sch,150162990,25,073C,YCCS Chtr - Chatham,Tony Lyons,9035 S Langley Ave,Chicago,60619,773651-1500,9-12,034,17,01,4,170993006458
Cook,District Authorized Charter Sch,150162990,25,272C,LEARN Charter Excel Campus,Mr. Sekou Robertson,3021 W Carroll Ave,Chicago,60612 1721,312243-7001,K-6,009,05,07,4,170993006457
Cook,District Authorized Charter Sch,150162990,25,273C,LEARN Chtr-Campbell Campus,Karin McGuire,212 S Francisco Ave,Chicago,60612 3618,773826-0370,K-6,010,05,07,4,170993006502
Cook,District Authorized Charter Sch,150162990,25,274C,LEARN Chtr - South Chicago Campus,Mr. David Lewis,8914 S Buffalo Ave,Chicago,60617 3416,773722-8577,K-8,025,13,02,4,170993006451
Cook,District Authorized Charter Sch,150162990,25,275C,LEARN Chtr -  Hunter Perkins Campus,Latrice Franklin,1700 W 83rd St,Chicago,60620 4621,773488-1634,K-8,089,45,17,4,170993006492
Cook,District Authorized Charter Sch,150162990,25,276C,LEARN Chtr - 7th Campus,Jon Bennett,3021 W Carroll Ave,Chicago,60612 1721,773584-4300,K-5,009,05,07,4,170993006469
Cook,District Authorized Charter Sch,150162990,25,074C,ASPIRA Charter - Early College Prep HS,Brenda Stolle,3986 W Barry Ave,Chicago,60618 6524,773252-0970,9-12,039,20,04,4,170993006473
Cook,District Authorized Charter Sch,150162990,25,079C,Aspira Charter - Business and Finance HS,Hector Fretyas,2989 N Milwaukee Ave,Chicago,60618 7347,773252-0970,9-12,040,20,04,4,170993006453
Cook,District Authorized Charter Sch,150162990,25,277C,CICS - Basil Campus,Christine Leung,1816 W Garfield Blvd,Chicago,60609 5606,773778-9455,K-8,006,03,07,4,170993006488
Cook,District Authorized Charter Sch,150162990,25,278C,CICS - Wrightwood,Christine Leung,8130 S California Ave,Chicago,60652 2716,773434-4575,K-8,031,16,01,4,170993006465
Cook,District Authorized Charter Sch,150162990,25,284C,Acero Chtr Sch Network  - Jovita Idar,Sandra Medina Alba,5050 S Homan Ave,Chicago,60632 3059,312455-5450,K-8,022,11,04,4,170993006505
Cook,District Authorized Charter Sch,150162990,25,285C,Acero Chtr Sch Network - PFC Omar E Torres Campus,Christopher Allen,4248 W 47th St,Chicago,60632 4402,773579-3475,K-8,001,01,04,4,170993006522
Cook,District Authorized Charter Sch,150162990,25,280C,CICS - Bond Campus,Christine Leung,13300 S Langley Ave,Chicago,60827 1396,773468-1300,K-6,029,15,02,4,170993006484
Cook,District Authorized Charter Sch,150162990,25,281C,Univ of Chicago Chtr-Donoghue,Erin Gilmore Slack,707 E 37th St,Chicago,60653 1406,773285-5301,P-5,026,13,01,4,170993006495
Cook,District Authorized Charter Sch,150162990,25,109C,LEARN Chtr - Middle School,Mr. Ryan Rampetsreiter,3021 W Carroll Ave,Chicago,60612 1721,773584-4300,6-8,010,05,07,4,170993006443
Cook,District Authorized Charter Sch,150162990,25,110C,ASPIRA Charter - Haugan Campus,Ricardo Ricardo,3729 W Leland Ave,Chicago,60625 5706,773252-0970,6-8,040,24,04,4,170993006516
Cook,District Authorized Charter Sch,150162990,25,283C,LEARN Chtr - Butler,Robin Johnson,3021 W Carroll Ave,Chicago,60612 1721,773722-0200,K-8,009,05,07,4,170993006471
Cook,District Authorized Charter Sch,150162990,25,082C,CICS - Northtown  Campus,Christine Leung,3900 W Peterson Ave,Chicago,60659,773478-3655,9-12,006,03,07,4,170993006500
Cook,District Authorized Charter Sch,150162990,25,083C,CICS - Ralph Ellison Campus,Christine Leung,1817 W 80th St,Chicago,60620 4557,773478-4434,9-12,031,16,01,4,170993006461
Cook,District Authorized Charter Sch,150162990,25,084C,North Lawndale Prep Chtr - Christiana,Elaine Brooks,1615 S Christiana Ave,Chicago,60623 2640,773542-1490,9-12,009,05,07,4,170993006489
Cook,District Authorized Charter Sch,150162990,25,085C,Acero Chtr Sch Network -  Major Hector P Garcia MD Campus,Lindsay Ahlgren Blythe,4248 W 47th St,Chicago,60632 4402,773579-3480,9-12,001,01,04,4,170993006467
Cook,District Authorized Charter Sch,150162990,25,086C,Acero Chtr Sch Network Victoria Soto Campus,Kelly Smith,5025 S St Louis Ave,Chicago,60632 3159,312455-5446,9-12,014,17,09,4,170993006483
Cook,District Authorized Charter Sch,150162990,25,282C,KIPP Chicago Charters - Ascend Academy,Ms. Lauren Henley,1616 S Avers Ave,Chicago,60623 2401,773521-4399,K-8,010,05,07,4,170993006509
Cook,State Authorized Charter,150169000,25,0000,Horizon Science Acad-McKinley Park Charter Sch,Mr. Seat Vedziovski,2245 W Pershing Rd,Chicago,60609 2211,773247-8400,K-12,002,01,04,2,1701410
Cook,State Authorized Charter Sch,150169000,25,201C,Horizon Science Acad-McKinley Park Charter Sch,Mr. Seat Vedziovski,2245 W Pershing Rd,Chicago,60609 2211,773247-8400,K-12,002,01,04,4,170141006254
Cook,State Authorized Charter,150169010,25,0000,Horizon Science Acad-Belmont Charter Sch,Mr. Serdar Kartal,2456 N Mango Ave,Chicago,60639 2313,773237-2702,K-8,008,04,07,2,1701412
Cook,State Authorized Charter Sch,150169010,25,201C,Horizon Science Acad-Belmont Charter Sch,Mr. Serdar Kartal,2456 N Mango Ave,Chicago,60639 2313,773237-2702,K-8,008,04,07,4,170141206309
Cook,State Authorized Charter,150169020,25,0000,Amandla Charter School,Turon Ivy,6820 S Washtenaw Ave,Chicago,60629 1826,773535-7150,9-12,032,16,01,2,1701426
Cook,State Authorized Charter Sch,150169020,25,201C,Amandla Charter School,Turon Ivy,6820 S Washtenaw Ave,Chicago,60629 1826,773535-7150,9-12,032,16,01,4,170142606424
Cook,State Authorized Charter,150169030,25,0000,Bronzeville Academy Chtr School,Mr. Alvin Boutte,4930 S Cottage Grove Ave,Chicago,60615 2616,773285-8040,K-8,005,03,07,2,1701431
Cook,State Authorized Charter Sch,150169030,25,201C,Bronzeville Academy Charter School,Simcha Dixion,4930 S Cottage Grove Ave,Chicago,60615 2616,773285-8040,K-8,005,03,07,4,170143106434
Cook,State Authorized Charter,150169040,25,0000,Betty Shabazz  International Charter School,Makita Kheperu,7823 S Ellis Ave,Chicago,60619 3213,773651-1221,K-8,005,03,01,2,1701424
Cook,State Authorized Charter Sch,150169040,25,201C,Betty  Shabazz International Charter School,Makita Kheperu,7823 S Ellis Ave,Chicago,60619 3213,773651-1221,K-8,005,03,01,4,170142406394
Cook,State Authorized Charter Sch,150169040,25,202C,Barbara A Sizemore Campus,Makita Kheperu,6547 S Stewart Ave,Chicago,60621 3184,773651-1661,K-8,001,03,06,4,170142406396
Cook,State Authorized Charter,150169050,25,0000,Intrinsic 2 Charter High School,Tim Ligue,79 W Monroe St Ste 400,Chicago,60603 4903,708887-2735,9,005,03,07,2,
Cook,State Authorized Charter Sch,150169050,25,001C,Intrinsic 2 Charter High School,Tim Ligue,79 W Monroe St Ste 400,Chicago,60603 4903,708887-2735,9,005,03,07,4,
Cook,State Authorized Charter,150169060,25,0000,Urban Prep West Charter School,Mr. Daryll T Lacey,1900 W Jackson Blvd Ste 203,Chicago,60612 3111,312276-0259,9-12,008,04,07,2,
Cook,State Authorized Charter Sch,150169060,25,001C,Urban Prep West Charter School,Daryll T Lacey,1900 W Jackson Blvd Ste 203,Chicago,60612 3111,312276-0259,9-12,008,04,07,4,
McLean,District Authorized Charter Sch,170640050,26,001C,YBMC Charter Sch,Ms. Tracey Polson,360 Wylie Dr Ste 305,Normal,61761 5500,309454-3898,11-12,105,53,18,4,172862006010
Kane,District Authorized Charter Sch,310453000,26,201C,Cambridge Lakes Charter School,Mrs. Julie Skaggs,900 Wester Blvd,Pingree Grove,60140 2050,847464-4300,K-12,065,33,14,4,170855005954
Kane,State Authorized Charter,310459000,25,0000,Elgin Math and Science Academy Charter School,Ms. Lezlie Fuhr,1600 Dundee Ave,Elgin,60120 1608,630883-5013,K-5,043,22,08,2,
Kane,State Authorized Charter Sch,310459000,25,201C,Elgin Math and Science Academy Charter School,Ms. Lezlie Fuhr,1600 Dundee Ave,Elgin,60120 1608,630883-5013,K-4,043,22,08,4,
Lake,District Authorized Charter Sch,340491870,26,203C,LEARN 10 Charter School,Christian Cigan,1811 Morrow Ave,North Chicago,60064 3223,847693-5021,K-6,058,29,10,4,170011006401
Lake,District Authorized Charter Sch,340491870,26,202C,LEARN Charter Sch 6 North Chicago Campus,Ms. Kelly Tyson,3131 Sheridan Rd,Great Lakes,60088 1600,847473-3845,K-8,058,29,10,4,170011006217
Lake,State Authorized Charter,340499000,25,0000,Prairie Crossing Charter School,Mr. Geoff Deigan,1531 Jones Point Rd,Grayslake,60030 3536,847543-9722,K-8,062,31,10,2,1700218
